City,Month,Product_Type,Marketing_Channel,Customer_Income_Level,Marketing_Budget_INR,Discount_Rate,Conversion_Rate,Num_Sales,Sales_Revenue_INR,ROI,Customer_Age
Delhi,2023-11,FMCG,Print,High,1423727,0.19,0.064,108431,131743665,92.53,65
Kanpur,2023-06,FMCG,Outdoor,Low,2349205,0.16,0.138,376060,473835600,201.7,53
Kolkata,2023-06,Electronics,Digital,Low,2672075,0.09,0.043,125240,569842000,213.26,65
Pune,2023-08,FMCG,Digital,Low,1126945,0.15,0.091,117934,150365850,133.43,30
Chennai,2023-12,Furniture,Radio,High,1116726,0.25,0.061,85150,255450000,228.75,53
Surat,2023-05,Furniture,TV,High,2546455,0.27,0.103,333101,972654920,381.96,40
Kolkata,2023-03,Furniture,Radio,High,863053,0.23,0.089,94478,290992240,337.17,40
Bangalore,2023-12,Healthcare,Digital,Low,862986,0.06,0.139,127152,418330080,484.75,53
Kolkata,2023-03,FMCG,Outdoor,Medium,841576,0.22,0.024,24641,28829970,34.26,53
Pune,2023-06,Electronics,TV,High,2351206,0.11,0.041,107003,476163350,202.52,22
Bangalore,2023-02,Electronics,Outdoor,High,2041456,0.13,0.117,269900,1174065000,575.11,53
Surat,2023-06,Healthcare,Radio,Medium,2034472,0.1,0.062,138750,437062500,214.83,22
Pune,2023-06,Electronics,Print,High,911731,0.24,0.033,37308,141770400,155.5,22
Mumbai,2023-08,Furniture,Outdoor,Medium,1917033,0.21,0.08,185568,586394880,305.89,22
Chennai,2023-07,FMCG,Radio,Low,1308459,0.2,0.101,158585,190302000,145.44,22
Surat,2023-08,Electronics,Radio,Medium,2348800,0.22,0.016,45848,178807200,76.13,30
Mumbai,2023-09,Electronics,Radio,Medium,755519,0.11,0.051,42769,190322050,251.91,40
Kanpur,2023-06,Clothing,Print,Low,2940609,0.16,0.123,419566,704870880,239.7,22
Surat,2023-03,Clothing,Print,High,2812511,0.21,0.083,282460,446286800,158.68,40
Kanpur,2023-10,Clothing,Print,Low,989775,0.21,0.015,17964,28383120,28.68,22
Bangalore,2023-03,FMCG,TV,High,2448337,0.25,0.049,149960,168705000,68.91,40
Mumbai,2023-11,Furniture,Print,High,1179025,0.12,0.099,130730,460169600,390.3,53
Chennai,2023-12,Furniture,Print,Medium,2890422,0.24,0.038,136196,414035840,143.24,53
Pune,2023-01,Furniture,Print,Low,1246732,0.16,0.126,182222,612265920,491.1,40
Ahmedabad,2023-11,FMCG,Outdoor,Medium,861781,0.22,0.105,110394,129160980,149.88,22
Kolkata,2023-05,FMCG,Print,Low,627208,0.16,0.076,55294,69670440,111.08,30
Delhi,2023-04,Clothing,TV,Low,1528644,0.29,0.138,272129,386423180,252.79,40
Chennai,2023-09,Electronics,Radio,Medium,2256172,0.09,0.065,159849,727312950,322.37,65
Mumbai,2023-09,Healthcare,Outdoor,High,1743631,0.22,0.043,91470,249713100,143.21,30
Ahmedabad,2023-05,Healthcare,Digital,High,1584731,0.19,0.103,194240,550670400,347.49,65
Chennai,2023-10,Electronics,Print,Low,1514607,0.09,0.09,148582,676048100,446.35,40
Mumbai,2023-04,Clothing,Radio,High,1783053,0.07,0.057,108748,202271279,113.44,22
Hyderabad,2023-07,Electronics,Radio,Medium,844705,0.25,0.058,61241,229653750,271.87,65
Hyderabad,2023-06,Electronics,Outdoor,Medium,625183,0.09,0.066,44975,204636250,327.32,40
Kanpur,2023-04,Healthcare,Digital,Medium,1581784,0.1,0.051,88738,279524700,176.71,30
Chennai,2023-10,Clothing,TV,Low,2614674,0.29,0.109,367649,522061580,199.67,22
Hyderabad,2023-02,FMCG,Radio,Low,1193371,0.23,0.101,148252,171231060,143.49,65
Mumbai,2023-01,Healthcare,Radio,High,2501151,0.11,0.072,199891,622660465,248.95,40
Kanpur,2023-04,FMCG,Radio,Medium,514040,0.2,0.066,40711,48853200,95.04,22
Mumbai,2023-04,Clothing,Radio,Medium,1424550,0.18,0.061,102539,168163960,118.05,22
Kanpur,2023-01,Electronics,Outdoor,Low,846142,0.26,0.05,53306,197232200,233.1,53
Chennai,2023-06,Furniture,Digital,Low,1784055,0.23,0.022,48276,148690080,83.34,22
Ahmedabad,2023-04,Furniture,Radio,Low,2683222,0.26,0.048,162281,480351760,179.02,40
Pune,2023-01,Clothing,TV,Medium,1190328,0.1,0.055,72014,129625200,108.9,30
Surat,2023-01,Furniture,TV,Medium,1342013,0.21,0.087,141273,446422680,332.65,53
Ahmedabad,2023-01,FMCG,Print,High,2965827,0.06,0.118,370965,523060650,176.36,40
Bangalore,2023-08,Furniture,Radio,Medium,2513069,0.07,0.065,174783,650192759,258.72,40
Mumbai,2023-10,Clothing,Radio,High,698554,0.23,0.142,122009,187893860,268.98,40
Bangalore,2023-08,Clothing,Radio,High,2183711,0.06,0.126,291656,548313280,251.09,65
Ahmedabad,2023-02,FMCG,Radio,Medium,551377,0.19,0.148,97108,117986220,213.98,65
Kanpur,2023-11,Furniture,Radio,High,1448298,0.26,0.133,242705,718406800,496.04,30
Surat,2023-07,Furniture,TV,High,2261739,0.14,0.096,247524,851482560,376.47,40
Surat,2023-08,Electronics,Digital,Low,2455799,0.06,0.094,244695,1150066500,468.31,65
Delhi,2023-08,Healthcare,Digital,Medium,1430993,0.23,0.028,49283,132817685,92.82,65
Surat,2023-11,Clothing,Print,High,2647709,0.28,0.111,376186,541707840,204.59,65
Pune,2023-10,Electronics,TV,High,2527519,0.23,0.094,292231,1125089350,445.14,30
Surat,2023-11,Clothing,Radio,High,784618,0.19,0.081,75629,122518980,156.15,30
Ahmedabad,2023-07,Electronics,Digital,Medium,1239316,0.11,0.107,147193,655008850,528.52,40
Delhi,2023-05,Healthcare,Outdoor,Low,1734834,0.05,0.072,131153,436083725,251.37,53
Ahmedabad,2023-01,Electronics,Outdoor,Low,1189872,0.22,0.083,120486,469895400,394.91,40
Ahmedabad,2023-12,Clothing,Outdoor,Medium,2411719,0.11,0.066,176682,314493960,130.4,65
Kolkata,2023-09,Furniture,Radio,Medium,1002070,0.26,0.11,138886,411102560,410.25,65
Delhi,2023-07,Clothing,Radio,Medium,1918447,0.17,0.133,298529,495558140,258.31,22
Ahmedabad,2023-02,FMCG,Print,Medium,501177,0.18,0.128,75697,93107310,185.78,40
Kolkata,2023-06,FMCG,Print,Low,2073625,0.24,0.12,308555,351752700,169.63,65
Kolkata,2023-02,FMCG,Print,High,1817178,0.24,0.012,27039,30824460,16.96,65
Delhi,2023-01,FMCG,Outdoor,High,952914,0.21,0.138,159117,188553645,197.87,53
Bangalore,2023-07,Healthcare,Radio,Medium,2914071,0.28,0.048,179040,451180800,154.83,22
Kanpur,2023-02,Furniture,Outdoor,Medium,1209226,0.3,0.134,210647,589811600,487.76,40
Pune,2023-02,Furniture,Print,High,1699758,0.29,0.038,83322,236634480,139.22,30
Kanpur,2023-11,Clothing,Radio,Low,2574119,0.26,0.072,233524,345615520,134.27,40
Surat,2023-05,Electronics,TV,Medium,1642365,0.23,0.115,232312,894401200,544.58,40
Pune,2023-05,Clothing,Digital,Medium,2985344,0.22,0.1,364211,568169160,190.32,53
Surat,2023-07,Clothing,Digital,Low,2527526,0.08,0.068,185621,341542640,135.13,40
Ahmedabad,2023-01,Clothing,Print,Low,1621291,0.12,0.105,190663,335566880,206.98,53
Mumbai,2023-08,Clothing,Outdoor,Low,2349857,0.05,0.087,214659,407852100,173.56,53
Delhi,2023-03,Furniture,TV,Medium,1356412,0.08,0.049,71781,264154080,194.74,65
Pune,2023-04,Electronics,Radio,Low,1983782,0.16,0.1,230118,966495600,487.2,30
Pune,2023-09,Clothing,Outdoor,Medium,2919162,0.09,0.039,124093,225849260,77.37,53
Ahmedabad,2023-04,Furniture,Print,Medium,2020139,0.28,0.107,276678,796832640,394.44,22
Bangalore,2023-10,Clothing,Outdoor,Low,2269033,0.25,0.01,28362,42543000,18.75,22
Kolkata,2023-12,FMCG,Print,High,1100296,0.07,0.087,102426,142884270,129.86,30
Ahmedabad,2023-05,Clothing,Digital,Low,765245,0.11,0.066,56061,99788580,130.4,53
Hyderabad,2023-07,Clothing,Digital,High,1313422,0.25,0.052,85372,128058000,97.5,30
Kolkata,2023-04,Healthcare,Outdoor,Low,1845331,0.25,0.082,189146,496508250,269.06,65
Delhi,2023-01,FMCG,TV,Low,1478999,0.29,0.1,190790,203191350,137.38,22
Kolkata,2023-09,Electronics,Radio,Medium,596265,0.3,0.145,112395,393382500,659.74,40
Bangalore,2023-04,Clothing,Print,Medium,756146,0.29,0.127,123879,175908180,232.64,22
Kolkata,2023-09,Electronics,Radio,Medium,1512075,0.15,0.11,191277,812927250,537.62,53
Delhi,2023-06,FMCG,Digital,Medium,1598463,0.11,0.077,136620,182387700,114.1,30
Bangalore,2023-01,Clothing,TV,Medium,610083,0.24,0.065,49172,74741440,122.51,22
Kanpur,2023-12,Healthcare,TV,Medium,1336960,0.12,0.015,22460,69176800,51.74,40
Pune,2023-03,Furniture,Radio,Medium,2421647,0.25,0.06,181623,544869000,225.0,40
Pune,2023-11,Healthcare,Digital,High,2679776,0.18,0.129,407915,1170716050,436.87,30
Surat,2023-02,Healthcare,Radio,High,2404268,0.25,0.064,192341,504895125,210.0,30
Kanpur,2023-09,Furniture,Outdoor,Medium,1917213,0.12,0.075,161045,566878400,295.68,22
Kanpur,2023-12,Furniture,TV,High,2618795,0.18,0.048,148328,486515840,185.78,53
Kolkata,2023-01,Furniture,TV,Low,1608828,0.19,0.048,91896,297743040,185.07,65
Pune,2023-09,Clothing,Outdoor,High,2950876,0.29,0.019,72325,102701500,34.8,40
Delhi,2023-09,Electronics,Digital,Medium,641406,0.12,0.096,68963,303437200,473.08,30
Chennai,2023-08,Electronics,TV,High,2696008,0.28,0.073,251914,906890400,336.38,65
Chennai,2023-08,Furniture,Print,Low,2073416,0.25,0.095,246218,738654000,356.25,65
Bangalore,2023-11,Healthcare,Print,High,2212759,0.23,0.087,236787,638140965,288.39,65
Pune,2023-12,FMCG,Digital,Medium,1025148,0.25,0.122,156335,175876875,171.56,53
Pune,2023-01,Furniture,Outdoor,Low,500290,0.2,0.115,69040,220928000,441.6,30
Chennai,2023-11,Healthcare,Radio,Low,1328849,0.11,0.118,174052,542171980,408.0,40
Pune,2023-08,Healthcare,Digital,High,899086,0.1,0.08,79119,249224850,277.2,30
Kolkata,2023-10,Clothing,Radio,Low,533397,0.27,0.06,40644,59340240,111.25,22
Hyderabad,2023-03,Clothing,Digital,Low,605311,0.23,0.141,104979,161667660,267.08,40
Mumbai,2023-11,Electronics,Print,Low,1783895,0.1,0.018,35321,158944500,89.1,30
Kanpur,2023-07,Electronics,Outdoor,Medium,1139450,0.2,0.031,42387,169548000,148.8,40
Surat,2023-11,FMCG,Print,Low,2563881,0.16,0.069,205213,258568380,100.85,22
Bangalore,2023-01,FMCG,Outdoor,High,2404624,0.09,0.096,251619,343459935,142.83,40
Hyderabad,2023-01,FMCG,Radio,High,578508,0.18,0.011,7509,9236070,15.97,65
Chennai,2023-10,FMCG,Digital,Low,567296,0.12,0.111,70526,93094320,164.1,53
Kanpur,2023-05,Healthcare,TV,High,1757350,0.07,0.088,165472,538611360,306.49,22
Pune,2023-05,Healthcare,TV,Low,1224294,0.17,0.078,111729,324572745,265.11,40
Surat,2023-08,Electronics,Outdoor,High,2431169,0.2,0.069,201300,805200000,331.2,22
Pune,2023-07,Clothing,Outdoor,Low,2251634,0.06,0.083,198098,372424240,165.4,65
Delhi,2023-08,Clothing,Print,Low,1755699,0.15,0.033,66628,113267600,64.51,53
Delhi,2023-06,Furniture,TV,Low,2263672,0.11,0.025,62816,223624960,98.79,22
Surat,2023-06,Healthcare,Print,Medium,1297039,0.06,0.051,70117,230684930,177.86,65
Surat,2023-02,FMCG,Radio,High,792150,0.08,0.109,93251,128686380,162.45,65
Chennai,2023-06,FMCG,TV,Low,840698,0.08,0.092,83531,115272780,137.12,65
Surat,2023-05,Furniture,Radio,Medium,2279288,0.1,0.077,193055,694998000,304.92,40
Kolkata,2023-03,Clothing,Digital,Medium,1437998,0.25,0.09,161774,242661000,168.75,30
Pune,2023-06,FMCG,Print,Low,2800591,0.16,0.088,285884,360213840,128.62,22
Hyderabad,2023-08,Clothing,Outdoor,Low,2578064,0.09,0.053,148934,271059880,105.14,30
Ahmedabad,2023-09,Furniture,TV,Low,1226480,0.08,0.024,31790,116987200,95.38,65
Surat,2023-01,Clothing,Print,Low,1191919,0.12,0.136,181553,319533280,268.08,30
Bangalore,2023-03,Clothing,Outdoor,Low,2225401,0.25,0.094,261484,392226000,176.25,65
Delhi,2023-03,Clothing,Digital,High,2942049,0.14,0.108,362225,623027000,211.77,65
Kolkata,2023-11,FMCG,TV,Low,2054794,0.09,0.075,167979,229291335,111.59,53
Kanpur,2023-08,Electronics,Radio,Low,2083054,0.15,0.116,277879,1180985750,566.95,53
Ahmedabad,2023-01,Healthcare,Digital,High,2660546,0.19,0.092,291276,825767460,310.38,30
Hyderabad,2023-05,Clothing,Outdoor,Medium,2013588,0.06,0.018,38419,72227720,35.87,22
Ahmedabad,2023-03,Clothing,TV,High,782701,0.21,0.135,127854,202009320,258.09,30
Surat,2023-02,Clothing,TV,Medium,2818677,0.15,0.053,171798,292056600,103.61,22
Chennai,2023-08,Electronics,Digital,Medium,2851099,0.05,0.029,86815,412371250,144.64,30
Delhi,2023-03,Furniture,TV,High,1399648,0.22,0.022,37566,117205920,83.74,40
Delhi,2023-07,FMCG,Outdoor,Low,2601768,0.23,0.111,355219,410277945,157.69,40
Kanpur,2023-12,Electronics,Digital,Medium,1189123,0.21,0.109,156833,619490350,520.96,22
Chennai,2023-11,Clothing,Radio,Low,983513,0.14,0.108,121090,208274800,211.77,53
Pune,2023-01,Electronics,Digital,High,1186230,0.18,0.138,193165,791976500,667.64,22
Mumbai,2023-06,Electronics,Digital,Medium,2867217,0.15,0.059,194540,826795000,288.36,30
Kolkata,2023-03,Electronics,Radio,Low,1852762,0.23,0.089,202821,780860850,421.46,65
Delhi,2023-08,Furniture,Outdoor,Medium,2124073,0.2,0.097,247242,791174400,372.48,40
Bangalore,2023-06,Healthcare,Print,Medium,2272376,0.07,0.147,357422,1163408610,511.98,65
Delhi,2023-12,FMCG,Print,High,740763,0.21,0.054,48401,57355185,77.43,40
Ahmedabad,2023-02,Furniture,Radio,Low,1864323,0.22,0.144,327524,1021874880,548.12,30
Delhi,2023-06,Furniture,Outdoor,Low,2641529,0.14,0.031,93351,321127440,121.57,40
Delhi,2023-07,Healthcare,TV,Medium,1826503,0.27,0.117,271400,693427000,379.65,22
Mumbai,2023-05,Furniture,Radio,Low,1819235,0.26,0.099,226931,671715760,369.23,65
Mumbai,2023-03,Electronics,Print,Medium,2417858,0.09,0.124,326797,1486926350,614.98,65
Hyderabad,2023-04,Electronics,Outdoor,High,1907496,0.28,0.014,34182,123055200,64.51,30
Pune,2023-04,Clothing,Digital,High,845508,0.16,0.021,20596,34601280,40.92,65
Bangalore,2023-06,Furniture,Outdoor,Low,610532,0.23,0.02,15019,46258520,75.77,30
Delhi,2023-10,Clothing,Outdoor,High,721586,0.25,0.093,83884,125826000,174.37,53
Delhi,2023-01,FMCG,Print,High,2093800,0.18,0.094,232244,285660120,136.43,22
Kolkata,2023-11,Electronics,Print,Low,2993466,0.15,0.137,471620,2004385000,669.59,40
Mumbai,2023-04,FMCG,TV,Medium,2719195,0.28,0.075,261042,281925360,103.68,40
Bangalore,2023-10,Healthcare,TV,High,1501992,0.11,0.02,33344,103866560,69.15,40
Kanpur,2023-04,Electronics,Radio,Low,2870281,0.11,0.039,124254,552930300,192.64,53
Hyderabad,2023-10,FMCG,Digital,Low,639355,0.14,0.011,8017,10341930,16.18,22
Pune,2023-01,Healthcare,TV,Low,619635,0.26,0.119,92908,240631720,388.34,65
Chennai,2023-09,FMCG,Print,High,2381331,0.28,0.124,377964,408201120,171.42,65
Pune,2023-04,Healthcare,Outdoor,High,1356730,0.11,0.15,225895,703662925,518.65,22
Ahmedabad,2023-07,Healthcare,Radio,Medium,1910777,0.27,0.068,165014,421610770,220.65,22
Delhi,2023-12,Electronics,TV,Medium,2077918,0.11,0.013,29984,133428800,64.21,40
Hyderabad,2023-03,Clothing,Outdoor,Medium,709884,0.29,0.043,39377,55915340,78.77,65
Ahmedabad,2023-10,Healthcare,Outdoor,Medium,2144181,0.2,0.092,236717,662807600,309.12,22
Bangalore,2023-12,Healthcare,TV,Medium,1827191,0.05,0.145,278189,924978425,506.23,65
Chennai,2023-03,Electronics,Digital,Medium,2460030,0.06,0.025,65190,306393000,124.55,22
Mumbai,2023-08,Clothing,Digital,Low,2048838,0.09,0.027,60297,109740540,53.56,30
Hyderabad,2023-08,Furniture,Radio,Medium,2258261,0.1,0.108,268281,965811600,427.68,40
Hyderabad,2023-11,Furniture,Digital,High,2361535,0.24,0.103,301615,916909600,388.27,22
Delhi,2023-12,Clothing,Radio,Medium,1853970,0.11,0.045,92605,164836900,88.91,53
Surat,2023-01,FMCG,Print,High,1668493,0.29,0.124,266892,284239980,170.36,22
Hyderabad,2023-10,Electronics,TV,Medium,1298461,0.21,0.028,43991,173764450,133.82,30
Kolkata,2023-02,Clothing,Outdoor,Low,541583,0.22,0.14,92502,144303120,266.45,53
Chennai,2023-08,Furniture,Radio,Low,2437069,0.1,0.038,101869,366728400,150.48,53
Chennai,2023-01,Healthcare,Digital,High,2962396,0.27,0.021,79007,201862885,68.14,22
Kolkata,2023-12,Furniture,Radio,Medium,2043388,0.22,0.058,144590,451120800,220.77,30
Kanpur,2023-08,Healthcare,Radio,Low,962584,0.27,0.036,44009,112442995,116.81,53
Kolkata,2023-08,Electronics,Digital,Low,1616723,0.29,0.084,175188,621917400,384.68,40
Kolkata,2023-02,Healthcare,Digital,Medium,2952421,0.08,0.106,337993,1088337460,368.63,40
Chennai,2023-04,Clothing,TV,High,1625180,0.07,0.079,137376,255519359,157.23,65
Pune,2023-06,Healthcare,Outdoor,High,2653070,0.25,0.102,338266,887948250,334.69,65
Chennai,2023-12,FMCG,TV,High,884369,0.27,0.061,68512,75020640,84.83,30
Surat,2023-11,Clothing,TV,Low,1547048,0.2,0.014,25990,41584000,26.88,53
Delhi,2023-09,Electronics,Digital,Medium,1093170,0.14,0.146,181947,782372100,715.69,40
Ahmedabad,2023-08,Clothing,Digital,Low,547259,0.21,0.125,82772,130779760,238.97,40
Pune,2023-12,FMCG,Outdoor,Low,2067769,0.13,0.02,46731,60983955,29.49,30
Mumbai,2023-08,Electronics,Radio,Low,1005765,0.11,0.073,81497,362661650,360.58,53
Ahmedabad,2023-07,Furniture,TV,Low,2345543,0.17,0.099,271684,901990880,384.56,30
Delhi,2023-09,FMCG,Outdoor,Medium,1435448,0.1,0.037,58422,78869700,54.94,22
Surat,2023-02,Electronics,TV,Low,1135765,0.17,0.091,120924,501834600,441.85,40
Surat,2023-03,Healthcare,Radio,Low,700772,0.29,0.085,76839,190944915,272.48,30
Mumbai,2023-10,Clothing,TV,High,774582,0.26,0.039,38062,56331760,72.73,30
Pune,2023-08,Electronics,Print,Low,2923640,0.29,0.03,113144,401661200,137.38,22
Kanpur,2023-06,Clothing,Outdoor,Medium,719712,0.25,0.116,104358,156537000,217.5,65
Kolkata,2023-10,Healthcare,Digital,Low,1475509,0.14,0.055,92514,278467140,188.73,40
Pune,2023-09,Electronics,TV,Medium,2667540,0.25,0.044,146714,550177500,206.25,30
Kanpur,2023-10,Furniture,Outdoor,Medium,2920379,0.28,0.113,422403,1216520640,416.56,40
Surat,2023-04,FMCG,Outdoor,Medium,2197229,0.29,0.113,320290,341108850,155.25,65
Chennai,2023-08,Electronics,TV,High,1491072,0.22,0.049,89136,347630400,233.14,30
Delhi,2023-10,Healthcare,Digital,High,1759459,0.1,0.132,255473,804739950,457.38,22
Mumbai,2023-03,Electronics,Digital,Low,649865,0.06,0.106,73018,343184600,528.09,40
Delhi,2023-03,Clothing,TV,Low,1764102,0.09,0.058,111526,202977320,115.06,22
Bangalore,2023-08,Electronics,Outdoor,Low,2668287,0.29,0.07,240946,855358300,320.56,65
Bangalore,2023-05,Furniture,Digital,Medium,2217376,0.17,0.112,290564,964672480,435.05,65
Pune,2023-03,Electronics,TV,Medium,1920064,0.26,0.04,96771,358052700,186.48,40
Surat,2023-10,FMCG,TV,Medium,1859898,0.17,0.076,165382,205900590,110.71,65
Surat,2023-11,Electronics,TV,Low,2798921,0.22,0.101,344883,1345043700,480.56,53
Kolkata,2023-01,Clothing,Outdoor,Low,879928,0.06,0.086,80214,150802320,171.38,40
Kolkata,2023-03,Electronics,Digital,Low,1980161,0.11,0.095,208807,929191150,469.25,53
Kolkata,2023-12,Furniture,Outdoor,Low,1169544,0.16,0.086,116673,392021280,335.19,65
Chennai,2023-09,Healthcare,Print,High,1788459,0.21,0.038,82233,227374245,127.13,40
Ahmedabad,2023-05,Electronics,Digital,High,2013566,0.09,0.067,147050,669077500,332.28,53
Hyderabad,2023-12,Electronics,Outdoor,High,2978474,0.24,0.084,310237,1178900600,395.81,65
Ahmedabad,2023-10,FMCG,Digital,Low,2217092,0.14,0.119,300770,387993300,175.0,30
Delhi,2023-02,Furniture,Print,High,2992779,0.25,0.102,381579,1144737000,382.5,30
Ahmedabad,2023-07,Healthcare,Radio,High,777818,0.07,0.07,58258,189629790,243.8,22
Chennai,2023-02,Clothing,TV,Low,1425812,0.22,0.146,253965,396185400,277.87,30
Delhi,2023-04,Electronics,Outdoor,High,1518645,0.12,0.025,42522,187096800,123.2,53
Ahmedabad,2023-12,Healthcare,Print,Low,1024864,0.25,0.039,49962,131150250,127.97,30
Chennai,2023-07,Clothing,Print,Low,2742865,0.15,0.058,182949,311013300,113.39,40
Hyderabad,2023-04,Furniture,Digital,Low,1769475,0.22,0.042,90667,282881040,159.87,40
Ahmedabad,2023-07,Furniture,Digital,Medium,1524199,0.28,0.098,191195,550641600,361.27,40
Chennai,2023-07,Healthcare,TV,Low,813051,0.06,0.016,13789,45365810,55.8,30
Kolkata,2023-01,Clothing,Digital,High,934355,0.05,0.035,34337,65240300,69.82,30
Surat,2023-06,Furniture,Outdoor,High,2157189,0.24,0.051,136420,414716800,192.25,22
Kolkata,2023-09,Healthcare,Outdoor,Low,1212675,0.21,0.106,155537,430059805,354.64,65
Surat,2023-02,Furniture,Outdoor,Medium,593435,0.12,0.133,88398,311160960,524.34,22
Mumbai,2023-03,Furniture,Radio,Medium,1063195,0.17,0.122,151760,503843200,473.9,53
Mumbai,2023-10,Furniture,Outdoor,Medium,1759368,0.06,0.035,65272,245422720,139.49,40
Mumbai,2023-05,FMCG,Digital,High,1496005,0.1,0.089,146458,197718300,132.16,30
Hyderabad,2023-09,Clothing,Digital,Medium,1993932,0.16,0.014,32381,54400080,27.28,65
Kolkata,2023-04,Healthcare,Outdoor,Medium,1079224,0.26,0.053,72070,186661300,172.96,65
Surat,2023-01,Healthcare,Print,Low,2989910,0.17,0.123,430277,1249954685,418.06,30
Chennai,2023-04,Clothing,Print,Medium,508000,0.2,0.074,45110,72176000,142.08,22
Delhi,2023-06,Clothing,Print,Medium,1547882,0.27,0.031,60940,88972400,57.48,65
Chennai,2023-05,Clothing,TV,Medium,608407,0.13,0.071,48812,84932880,139.6,22
Delhi,2023-01,Clothing,Radio,Low,632157,0.23,0.038,29547,45502380,71.98,30
Bangalore,2023-04,Electronics,Outdoor,Low,2003855,0.27,0.065,165418,603775700,301.31,22
Chennai,2023-06,Healthcare,TV,Medium,1172982,0.1,0.078,100641,317019150,270.27,40
Ahmedabad,2023-10,Electronics,Print,High,1674766,0.14,0.059,112644,484369200,289.22,30
Ahmedabad,2023-10,Furniture,Outdoor,High,1036296,0.29,0.141,188491,535314440,516.57,30
Pune,2023-04,Furniture,TV,Low,2413506,0.3,0.089,279242,781877600,323.96,65
Kolkata,2023-09,Healthcare,Digital,Medium,2849996,0.11,0.128,404927,1261347605,442.58,65
Delhi,2023-05,Furniture,Print,High,2710044,0.07,0.117,339270,1262084399,465.71,65
Delhi,2023-08,Clothing,TV,Medium,813269,0.12,0.103,93818,165119680,203.03,40
Kolkata,2023-09,Electronics,Digital,Low,1689497,0.15,0.08,155433,660590250,391.0,40
Hyderabad,2023-10,Clothing,Print,High,672444,0.16,0.01,7800,13104000,19.49,53
Pune,2023-05,Furniture,Radio,Low,1562343,0.2,0.096,179981,575939200,368.64,30
Hyderabad,2023-06,Electronics,Print,Medium,1986162,0.27,0.06,151345,552409250,278.13,65
Hyderabad,2023-01,Clothing,Radio,Low,2172291,0.13,0.026,63821,111048540,51.12,30
Hyderabad,2023-11,Healthcare,Radio,Low,1439069,0.26,0.072,130552,338129680,234.96,22
Kolkata,2023-12,Clothing,Radio,Low,1732812,0.07,0.113,209514,389696039,224.89,40
Hyderabad,2023-07,Furniture,Outdoor,Low,862691,0.06,0.145,132595,498557200,577.91,53
Ahmedabad,2023-04,Electronics,Outdoor,High,568125,0.18,0.062,41564,170412400,299.96,22
Mumbai,2023-11,Healthcare,Radio,Medium,2579014,0.06,0.086,235102,773485580,299.92,30
Bangalore,2023-02,Electronics,Digital,High,1265378,0.15,0.129,187718,797801500,630.48,40
Delhi,2023-05,Healthcare,Radio,Medium,2030011,0.27,0.057,146952,375462360,184.96,65
